,id_target,disposition,period,duration
1183,147660886,CANDIDATE,17.30714,4.138
1185,219466784,CANDIDATE,,9.1654068
1186,70887357,CANDIDATE,723.8345008,7.382946
1187,243187830,CANDIDATE,,2.5728859
1189,350618622,CANDIDATE,5.8492287,3.6637012
1190,26547036,CANDIDATE,1114.0631272,8.0694553
1196,368287008,CANDIDATE,3.3491408,1.207
1197,219508169,CANDIDATE,6.8161204,2.707
1198,219508169,CANDIDATE,2.459032,1.856
1199,219508169,CANDIDATE,25.3369848,3.214
1201,357501308,CANDIDATE,7.4355668,2.429
1202,159781361,CANDIDATE,15.3474527,7.1483441
1203,355509914,CANDIDATE,1.7386736,1.2988138
1207,16884216,CANDIDATE,11.1900486,2.9741507
1210,407059875,CANDIDATE,7.1924,2.732
1216,470127886,CANDIDATE,5.71547,3.925
1218,53617134,CANDIDATE,18.8243105,4.806
1220,53709089,CANDIDATE,8.51226,3.068
1221,368320811,CANDIDATE,1.2583329,1.17
1222,405559035,CANDIDATE,11.1518929,4.623
1224,237071229,CANDIDATE,11.247981,3.191
1225,281781375,CANDIDATE,43.8279601,4.2818927
1226,427730490,CANDIDATE,3.8608551,2.571
1229,346929661,CANDIDATE,12.0135482,4.216
1231,347013211,CANDIDATE,9.07788,6.214
1234,159873822,CANDIDATE,13.7905315,3.301
1235,314835525,CANDIDATE,5.30329,3.707
1236,281575427,CANDIDATE,4.2529879,3.109
1237,316468545,CANDIDATE,13.5971273,2.767
1238,375850439,CANDIDATE,1.162914,1.9684031
1241,378355116,CANDIDATE,3.56771,3.292
1243,396356111,CANDIDATE,10.2207,3.848
1244,229888286,CANDIDATE,5.5986627,4.926
1248,285542903,CANDIDATE,2.26584,2.833
1251,334811204,CANDIDATE,21.07626,2.124
1255,147951030,CANDIDATE,8.8128281,2.25
1256,417931300,CANDIDATE,7.768982,2.181
1257,198187049,CANDIDATE,5.9214172,2.6103905
1259,233182695,CANDIDATE,6.3838817,1.68
1260,198360694,CANDIDATE,5.673911,3.053625
1261,900715901,CANDIDATE,3.167981,1.352
1262,441642457,CANDIDATE,53.1991439,6.2024225
1263,158075010,CANDIDATE,177.5830512,4.7901443
1264,23814735,CANDIDATE,4.7981694,2.1425123
1266,27491137,CANDIDATE,35.1257472,2.839
1267,230075227,CANDIDATE,6.1155789,1.945
1269,224298134,CANDIDATE,1.4923242,1.063
1270,224298134,CANDIDATE,9.3174072,1.585
1271,314865962,CANDIDATE,22.4642328,5.3359559
1272,367739494,CANDIDATE,63.5896875,4.0314861
1274,160039081,CANDIDATE,30.200336,4.48
1275,233633993,CANDIDATE,17.9698474,4.4098423
1276,441738827,CANDIDATE,6.0784031,2.117
1278,103633672,CANDIDATE,,6.7940415
1279,230387153,CANDIDATE,41.7542548,4.565
1280,230387153,CANDIDATE,20.2617494,2.802
1281,219462190,CANDIDATE,,16.0960466
1282,441765914,CANDIDATE,124.7315755,6.623
1283,341815197,CANDIDATE,49.9952568,5.055
1284,52204645,CANDIDATE,4.3794425,1.749447
1285,233721037,CANDIDATE,230.92212,15.8602661
1286,219778329,CANDIDATE,177.2188871,5.5590645
1287,393965778,CANDIDATE,4.3032437,2.202
1288,402898317,CANDIDATE,53.8176578,4.8765947
1289,356016119,CANDIDATE,18.7917929,1.4806763
1290,235678745,CANDIDATE,17.6648787,2.61
1291,235678745,CANDIDATE,28.1722908,3.47
1292,142748283,CANDIDATE,3.1190691,0.994
1293,142748283,CANDIDATE,6.3878,1.3926521
1295,356700488,CANDIDATE,,12.4131426
1297,141608198,CANDIDATE,9.0105414,1.8443264
1298,219436394,CANDIDATE,23.6572989,2.279
1299,165527918,CANDIDATE,9.0754002,3.246
1300,289590465,CANDIDATE,6.7061125,1.7048241
1301,160491359,CANDIDATE,2.6620381,1.619
1302,367630162,CANDIDATE,3.272306,1.859
1303,367630162,CANDIDATE,5.9043831,2.573
1304,367630162,CANDIDATE,15.18089,2.862
1305,367630162,CANDIDATE,1.9803047,1.693
1306,367630162,CANDIDATE,9.56111,3.0128111
1307,156199502,CANDIDATE,15.9153058,1.2565651
1309,446549906,CANDIDATE,2.45457,2.39
1315,427320001,CANDIDATE,14.01235,5.479
1316,427320001,CANDIDATE,155.8237,10.641846
1317,1400212743,CANDIDATE,5.24612,4.194
1318,9828416,CANDIDATE,6.2099663,4.49
1325,389900760,CANDIDATE,5.7998097,0.9215009
1328,105840719,CANDIDATE,10.3088372,3.473
1333,21832928,CANDIDATE,16.341914,4.554493
1335,234345288,CANDIDATE,23.5199156,3.4610052
1336,234345288,CANDIDATE,7.7565313,2.4229146
1340,39200363,CANDIDATE,3.827183,2.2778189
1341,75878355,CANDIDATE,9.2292064,2.927
1342,75878355,CANDIDATE,,5.109
1348,167415965,CANDIDATE,18.5538658,3.9542893
1349,167415965,CANDIDATE,9.6961138,2.9095806
1351,287256467,CANDIDATE,18.258947,4.1800848
1352,44313455,CANDIDATE,9.3017374,2.2244094
1353,103195323,CANDIDATE,5.5899446,5.032
1354,428988981,CANDIDATE,37.3412116,5.5549751
1357,341630071,CANDIDATE,26.2052577,5.923
1359,1716467085,CANDIDATE,0.5847238,0.951
1360,231912935,CANDIDATE,26.2851255,3.157389
1366,461591646,CANDIDATE,3.72466,3.185
1369,342642208,CANDIDATE,8.6007557,3.304
1373,284477310,CANDIDATE,2.2390502,1.64
1376,43429656,CANDIDATE,5.2132047,3.978
1379,233680651,CANDIDATE,5.1354252,3.671
1382,8516795,CANDIDATE,8.2148505,3.839
1384,154741689,CANDIDATE,9.2787219,4.394
1386,76197937,CANDIDATE,1.78252,2.729
1388,159815224,CANDIDATE,2.9601848,2.014
1394,32090583,CANDIDATE,0.4384462,0.5281327
1396,233068569,CANDIDATE,8.3790883,2.858
1398,1715469662,CANDIDATE,6.5011256,5.442
1400,355096431,CANDIDATE,7.2147718,4.0147754
1401,238171173,CANDIDATE,4.4765244,2.9941572
1402,270472265,CANDIDATE,2.7492277,1.688
1403,260797169,CANDIDATE,3.7348347,2.4593886
1404,270342589,CANDIDATE,4.4343998,2.828018
