,id_target,disposition,period,duration,koi_time0bk
4271,2303903,CANDIDATE,3.70858595,1.94,134.47308
4272,9278216,CANDIDATE,9.4527721,3.817,135.7805
4273,8355131,CANDIDATE,4.3638313,1.457,135.33772
4275,12645057,CANDIDATE,6.83006228,3.315,135.76099
4276,4844367,CANDIDATE,17.1622587,4.668,148.6441
4277,10937749,CANDIDATE,5.19898615,2.359,133.05317
4279,8332521,CANDIDATE,14.74426,8.168,135.04
4283,4060229,CANDIDATE,35.0175053,3.608,139.8496
4291,8443527,CANDIDATE,22.599501,4.38,152.9112
4296,9100953,CANDIDATE,44.9851885,4.164,150.5703
4299,10907132,CANDIDATE,5.89089509,2.402,132.43645
4300,6520753,CANDIDATE,4.13029832,2.461,133.5272
4305,9893468,CANDIDATE,201.325036,14.4,174.7724
4306,11655826,CANDIDATE,5.59346375,1.668,131.50752
4307,1721157,CANDIDATE,3.44928111,1.424,133.38221
4310,9947653,CANDIDATE,37.9043889,11.638,163.7386
4312,9002538,CANDIDATE,6.88297756,2.065,134.16424
4313,5253802,CANDIDATE,8.7963166,4.696,134.3262
4314,12554634,CANDIDATE,2.049602348,1.061,132.32639
4315,6264750,CANDIDATE,53.285584,6.492,172.297
4316,11290515,CANDIDATE,5.8943338,3.475,134.10692
4317,6520753,CANDIDATE,8.119343,3.558,135.1862
4319,8493354,CANDIDATE,18.0071438,5.401,138.31266
4322,5457326,CANDIDATE,2.49915311,1.803,133.08978
4324,10610039,CANDIDATE,105.997107,3.751,144.41965
4327,8628761,CANDIDATE,6.30432354,2.508,137.29688
4329,4750669,CANDIDATE,3.38419892,1.485,131.9355
4331,6717252,CANDIDATE,1.19260017,1.502,132.66994
4333,4902202,CANDIDATE,216.456055,11.067,175.3753
4338,11350118,CANDIDATE,12.003678,2.799,134.71007
4343,2572029,CANDIDATE,6.0059966,3.096,133.404
4344,7905106,CANDIDATE,4.22426989,4.22,132.3611
4345,9007151,CANDIDATE,330.906041,3.846,253.8224
4346,4450844,CANDIDATE,56.3479517,8.789,163.3795
4349,11181260,CANDIDATE,19.9778599,5.96,135.165
