,id_target,disposition,period,duration
1053,TIC 195187524,CANDIDATE,9.375266,2.8
1055,TIC 178270522,CANDIDATE,0.986765,3.336
1059,TIC 175235241,CANDIDATE,0.82182448,0.691
1060,TIC 175235241,CANDIDATE,0.8218241,1.1256
1061,TIC 175235241,CANDIDATE,0.822,0.81408
1063,TIC 203287069,CANDIDATE,14.220246,3.4848
1074,TIC 14675072,CANDIDATE,1.466473,2.5488
1075,TIC 178266267,CANDIDATE,7.11047482,3.434
1076,TIC 178266267,CANDIDATE,7.112,2.65104
1077,TIC 178266267,CANDIDATE,7.112273,3.1296
1078,TIC 178266267,CANDIDATE,7.1123965,2.361
1079,TIC 178266267,CANDIDATE,7.112134,2.5104
1083,TIC 203252180,CANDIDATE,20.016917,2.4144
1087,TIC 332023536,CANDIDATE,5.17518,3.288
1088,TIC 14603150,CANDIDATE,9.73605539,3.673
1089,TIC 195191027,CANDIDATE,2.22645,1.728
1090,TIC 195191027,CANDIDATE,2.226,1.67904
1091,TIC 14570132,CANDIDATE,3.209185,0.84
1092,TIC 14570132,CANDIDATE,3.209149,
1093,TIC 14570132,CANDIDATE,3.2092032,0.719
1094,TIC 14570132,CANDIDATE,3.209,0.72504
1095,TIC 178248086,CANDIDATE,2.91825,2.208
1096,TIC 178248086,CANDIDATE,2.918,1.914
1097,TIC 178269359,CANDIDATE,0.898344,1.4016
1098,TIC 178269359,CANDIDATE,0.898,0.95808
1099,TIC 178269359,CANDIDATE,0.898312,0.0
1100,TIC 178269359,CANDIDATE,0.898216,
1101,TIC 178269359,CANDIDATE,0.89803906,1.611
1102,TIC 801264959,CANDIDATE,6.676,2.27304
1104,TIC 197217588,CANDIDATE,0.545702,1.9152
1105,TIC 178220228,CANDIDATE,4.70751,2.928
1109,TIC 175193677,CANDIDATE,15.61136333,3.2002615
1110,TIC 175193677,CANDIDATE,15.613426,3.0144
1114,TIC 126314157,CANDIDATE,1.17715,3.924
1116,TIC 117278832,CANDIDATE,1.190316,3.2592
1120,TIC 117357458,CANDIDATE,6.924808,2.8536
1122,TIC 117278634,CANDIDATE,1.190354,3.924
1126,TIC 117380199,CANDIDATE,5.190254,3.1608
1127,TIC 117414451,CANDIDATE,11.480611,11.0
1129,TIC 117354651,CANDIDATE,1.095841,1.9104
