loc_rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_time0,koi_duration,koi_quarters
3238,3217264,K00401.01,CONFIRMED,29.198992190,2455018.441,5.12270,11111111111111111000000000000000
3239,3217264,K00401.02,CONFIRMED,160.019159800,2455084.283,5.47200,11111111111111111000000000000000
3240,8554498,K00005.02,FALSE POSITIVE,7.051856370,2454966.367,3.69000,
3241,6850504,K00070.01,CONFIRMED,10.854095934,2454971.608,3.77680,11111111111111111000000000000000
3242,3217264,K00401.03,CONFIRMED,55.329139900,2455019.315,6.91800,11111111111111111000000000000000
3243,3342592,K00402.01,FALSE POSITIVE,17.177328207,2455003.546,7.67020,11111111111111111000000000000000
3244,7440748,K00457.02,CONFIRMED,7.064252021,2454968.380,1.38670,11111111111111111000000000000000
3245,7504328,K00458.01,CANDIDATE,53.717984940,2455041.080,4.10400,11111111111111111000000000000000
3246,8219268,K02133.02,FALSE POSITIVE,43.501748000,2454997.286,10.75500,11111111111111111000000000000000
3247,7977197,K00459.01,CONFIRMED,19.446391390,2455003.102,3.62270,11111111111111111000000000000000
3248,7977197,K00459.02,CONFIRMED,6.919869880,2454967.116,3.42530,11111111111111111000000000000000
3249,7199397,K00075.01,CANDIDATE,105.881766700,2454989.979,18.04400,11111111111111111000000000000000
3250,6266741,K00508.02,CONFIRMED,16.665899400,2455013.202,4.19340,11110111011101110000000000000000
3251,6381846,K00509.01,CONFIRMED,4.166966280,2455002.716,2.75350,11111111111111111000000000000000
3252,4367854,K02876.02,FALSE POSITIVE,0.535224793,2454964.736,3.34020,10011001100111111000000000000000
3253,6381846,K00509.02,CONFIRMED,11.463471650,2454970.385,2.59900,11111111111111111000000000000000
3254,6381846,K00509.03,CONFIRMED,39.603400000,2455001.071,6.48700,11111111111111111000000000000000
3255,6422155,K00510.01,CONFIRMED,2.940304817,2455002.905,2.72260,11110111011101110000000000000000
3256,6665695,K00561.01,CONFIRMED,5.378868001,2455002.615,2.72220,11111111111111111000000000000000
3257,6707833,K00563.01,CONFIRMED,15.284677250,2455008.623,6.07680,11111111111111111000000000000000
3258,9785921,K03372.02,FALSE POSITIVE,73.506021000,2454996.569,5.73400,00011101110111011000000000000000
